text,pronunciation,description
Castigate,[KAS-ti-gayt],"To punish or criticize severely.<br>Synonyms of castigate include chasten (CHAY-sin), chastise (chas-TYZ or CHAS-tyz), rebuke, reprimand, reprove, and censure (SEN-shur, word 28 of Level 3).<br>Antonyms of castigate include approve, reward, praise, commend, laud (LAWD), extol (ek-STOHL), and eulogize (YOO-luh-jyz).<br>The verbs to chasten, to chastise, and to castigate all mean to punish in slightly different ways.<br>Chasten is related to the word chaste, pure, and by derivation to chasten means to punish in order to purify or make chaste. In modern usage chasten usually suggests purifying by subjecting to harsh discipline, inflicting pain or suffering to improve the character of someone or something. Military recruits are chastened during basic training; a preacher may chasten a congregation for its sinful ways; a mild heart attack may chasten the workaholic to slow down and take better care of himself. You may also chasten your mind or chasten your style, purify or subdue it by subjecting it to harsh discipline.<br>The verb to chastise was once used as a dignified word for inflicting corporal punishment—in other words, to punish by whipping or beating. In the nineteenth century, teachers were permitted—and often expected—to chastise students who misbehaved in class, and for much of the twentieth century, before the concept of the ""time-out"" became popular, spanking was considered an acceptable way of disciplining a naughty or obstreperous child. (Do you need to look up obstreperous? Quick—grab your dictionary and do it now.)<br>Today chastise may still be used to mean to inflict corporal punishment, but more often the word suggests administering a strong verbal rebuke. When a teacher chastises a student today, it's with harsh words, not a hickory stick. The corresponding noun chastisement may be pronounced either CHAS-tiz-ment or chas-TYZ-ment. CHAS-tiz-ment is the traditional pronunciation; chas-TYZ-ment has been recognized by American dictionaries since the late 1940s.<br>Castigate comes from the Latin castigare, to punish with words or blows.<br>Like chastise, castigate was once used of corporal punishment, but today the word is nearly always used to mean to beat up verbally, criticize severely, especially to subject to harsh public criticism. Politicians often castigate their opponents during a campaign. Some reviewers may praise a book for its controversial ideas, while others may castigate it. If the boss reads you the riot act in front of the whole office, consider yourself castigated. The corresponding noun is castigation, as ""a pugnacious radio talk show host with a vicious penchant for castigation.""<br><br>To punish or criticize severely.<br>Synonyms: chasten, chastise, rebuke, reprimand, reprove, censure (Level 3, Word 28).<br>Antonyms: approve, reward, praise, commend, laud, extol, eulogize.<br>N.B. This discussion distinguishes the verbs to castigate, to chasten, and to chastise (the corresponding noun, chastisement, may be pronounced either CHAS-tiz-mint or chasTYZ-mint.)<br>Corresponding noun: castigation."
Colloquial,[kuh-LOH-kwee-ul],"Conversational; pertaining to, characteristic of, or used in spoken language; hence, informal, casual, natural.<br>Colloquial, colloquium (kuh-LOH-kwee-um), and colloquy (KAHL-uh-kwee) all come from the Latin loqui, which means to speak, converse. Loqui is also the source of the word loquacious<br>(loh-KWAY-shus), extremely talkative.<br>The noun colloquy is a dignified synonym for conversation, but while conversation may apply to any exchange of spoken words, colloquy usually refers to a more formal or intellectual discussion, the kind of talk that occurs between scholars or on television shows where journalists analyze the news. When you or I talk with people at a party or over dinner, that's a conversation, but when William F. Buckley, Jr., talked with his guests on ""Firing Line,"" that was a colloquy.<br>The noun colloquium means a gathering in which a colloquy takes place, a conference or meeting for discussion, specifically a relatively informal meeting for the purpose of exchanging views on a subject.<br>The adjective colloquial means conversational, of the spoken language, and therefore informal or casual. Remember vernacular, word 15 of this level? Colloquial speech is speech that uses the vernacular, the common, everyday language of ordinary people.<br>The corresponding noun colloquialism (kuh-LOH-kwee-ul-iz-'m) means a colloquial expression, a bit of vernacular language, a word or phrase used in common, everyday, informal speech. There are many thousands of colloquialisms in the language, and you probably use dozens—maybe even hundreds—of them every day without thinking twice about it. For example, every time you say yeah instead of yes you are using a colloquialism, an expression more appropriate to informal speech than to more formal speech and writing.<br>Here's a dictionary usage tip: The next time you look up a word and preceding the definition you see the abbreviation coll. or colloq., that means the word—or the word used in that particular sense—is a colloquialism, and you may reasonably infer that it is characteristic of colloquial or conversational language.<br>In concluding this discussion, I would like to stress that colloquial speech and colloquialisms are not necessarily substandard or illiterate, as some ultrapurists might have you believe. To begin with, without the colloquial the English vocabulary would be circumscribed (word 11 of Level 3) and stiff, and if there were some way to outlaw the use of colloquialisms then communication between people of different backgrounds and levels of education would soon become impossible. Then it probably would not be long before English went the way of Latin—into extinction. Most of our communication is spoken, not written, and a liberal dose of colloquial or conversational words and expressions is what keeps a language fluid, fresh, and vital.<br>Of course, not all colloquialisms are useful or acceptable to all speakers. Some colloquialisms are objectionable because they suggest uneducated or coarse informality. A classic example of that sort is the word ain't. Other colloquialisms are objectionable because they're illogical, and here perhaps the best example is the expression ""I could care less,"" which is commonly used in colloquial or informal speech to mean ""I could not care less."" If you can care less, then that means you still have some caring left in you, whereas if you cannot care less, then you do not care at all, which is the sense those who use the improper colloquialism mean to convey.<br>The point is, there are relatively few examples of exceptionable (do you need to look that up?) colloquial language. The vast majority of colloquial or informal expressions are not only acceptable but also useful and even necessary in conducting our day-to-day communication.<br><br>Conversational; pertaining to, characteristic of, or used in spoken language; hence, informal, casual, natural.<br>Etymology and related words: Colloquial comes from the Latin loqui, to speak, converse-the source also of loquacious, extremely talkative, a synonym of garrulous (Level 4, Word 8); colloquy (KAHLuh-kwee), a conversation-specifically, a formal or intellectual discussion; and colloquium (kuh-LOHkwee-um), a conference or meeting for discussion.<br>Corresponding noun: colloquialism, a colloquial expression; a bit of vernacular language; a word or phrase used in common, everyday, informal speech.<br>Dictionary usage tip: When you see the abbreviation coll. or colloq. in a dictionary, it means colloquial, appropriate to or characteristic of informal speech.<br>Colloquial usage tip: Avoid the expression ""I could care less""; instead say ""I could not care less."" If you can care less, that means you still have some caring left in you; if you cannot care less, then you do not care at all.<br>N.B. This discussion concludes with an exploration of the nature of colloquial speech and colloquialisms."
Obfuscate,[ahb-FUHS-kayt or AHB-fuh-skayt],"To make obscure, cloud over, darken, make unclear or indistinct.<br>Synonyms of obfuscate include confuse, complicate, muddle, bewilder, shroud, eclipse, and adumbrate (ad-UHM-brayt or AD-um-brayt). Antonyms of obfuscate include expose, unveil, clarify, and elucidate (i-LOO-si-dayt).<br>The corresponding noun is obfuscation (AHB-fuh-SKAY-shin). Have you ever heard the joke-phrase ""Please eschew obfuscation""? That's an ironic way of advising someone to avoid jargon and communicate in clear and simple terms.<br>Obfuscate comes from the Latin obfuscare, to darken, and by derivation means to deprive of light, make dark or dim. In modern usage obfuscate may mean either to make something obscure or indistinct, or to make it confused, muddled, or unclear. You can obfuscate the truth, obfuscate your meaning, or obfuscate your intentions. Think of obscure when you think of the verb to obfuscate.<br>Obfuscate may be pronounced ahb-FUHS-kayt or AHB-fuh-skayt. The latter pronunciation, which has been heard in American speech since the early twentieth century, was originally British. Although AHB-fuh-skayt was criticized and called erroneous by authorities of the 1920s and 1930s, it is now fully standard and preferred by many cultivated speakers. <br>To make obscure, cloud over, darken, make unclear or indistinct.<br>Synonyms: confuse, complicate, muddle, bewilder, shroud, eclipse, adumbrate (adUHMbrayt or AD-uhm-brayt).<br>Antonyms: expose, unveil, clarify, elucidate.<br>Corresponding noun: obfuscation.<br>Etymology: Latin obfuscare, to darken."
Facile,"[FAS-’l, rhymes with castle]","Easy, easily done; performed or achieved in an easy, effortless way; working or acting in a smooth, free, and unrestrained manner.<br>Synonyms of facile include quick, ready, fluent, nimble, dexterous, expert, and adroit (word 41 of Level 3).<br>Antonyms of facile include difficult, awkward, unwieldy, laborious, irksome, obstinate (word 34 of Level 1), onerous (AHN-ur-us), intractable (word 12 of this level), and refractory (ri-FRAK-tur-ee).<br>The adjective facile, the noun facility, and the verb to facilitate all come through the Latin facilis, meaning ""easy to do,"" from the verb facere, which means ""to make"" or ""to do."" All three words suggest ease of performance or action.<br>Facilitate means to make easier, help along, as ""She was hired to facilitate the project."" When using facilitate, remember that the word applies to an action or operation, not to the performer of it. Installing new production equipment will not facilitate the workers on an assembly line; it will facilitate assembly of the product.<br>The noun facility means dexterity, aptitude, ease of movement or action. The word usually suggests a practiced ability to do something with quick, skillful ease: he plays the piano with facility; her facility in handling a tricky situation; an impressive facility with words.<br>Our keyword, facile, is often used of speech or the mind to mean able to perform quickly and smoothly, as ""a facile wit,"" or ""a facile tongue."" Facile is now often used in a negative sense to mean done or arrived at too easily, without sufficient care or effort: a facile answer is smooth and easy to the point of being glib (word 8 of Level 3); a facile solution is simplistic or superficial.<br>In Modern English Usage, the classic guide by H. W. Fowler, first published in 1926, Fowler notes that the value of facile ""as a synonym for easy or fluent or [dexterous] lies chiefly in its depreciatory implication. A facile speaker or writer is one who needs to expend little pains (& whose product is of correspondingly little import). A facile triumph or victory is easily won (& comes to little).""<br><br>Easy, easily done; performed or achieved in an easy, effortless way; working or acting in a smooth, free, and unrestrained manner.<br>Synonyms: quick, ready, fluent, nimble, dexterous, expert, adroit (Level 3, Word 41).<br>Antonyms: difficult, awkward, unwieldy, laborious, irksome, obstinate (Level 1, Word 34), onerous (Level 4, Word 13), intractable (Level 5, Word 12), refractory (ri-FRAKtuh-ree).<br>Etymology and related words: facile, facility, and facilitate all come through the Latin facilis, easy to do, from facere, to make or do.<br>"
Convivial,[kun-VIV-ee-ul],"Sociable, merry, festive.<br>Synonyms of convivial include jovial (word 19 of this level), and also genial (JEE-nee-ul), companionable, affable (AF-uh-bul), and gregarious (gruh-GAIR-ee-us). Antonyms include unsociable, reserved, solitary, and aloof (word 20 of Level 1).<br>Convivial comes from the Latin convivium, a feast, banquet, which in turn comes from the prefix con-, meaning ""together,"" and vivere, to live. By derivation convivial means gathering together to eat, drink, and be merry. In modern usage convivial may mean either ""pertaining to a feast or festive occasion"" or ""fond of eating, drinking, and good company."" A convivial atmosphere is a merry, festive atmosphere; a convivial person is a friendly, sociable person, especially someone who likes to socialize while eating and drinking.<br><br>Sociable, merry, festive.<br>Synonyms: jovial (Level 5, Word 19), genial, companionable, affable, gregarious.<br>Antonyms: unsociable, reserved, solitary, aloof.<br>Etymology: Latin convivium, a feast, banquet, from con-, meaning ""together,"" and vivere, to live. By derivation convivial means gathering together to eat, drink, and be merry."
Eschew,"[es-CHOO, like s plus the word chew]","To avoid, shun, abstain from; keep away from something harmful, wrong, or distasteful.<br>Don't be misled by the sound and spelling of eschew; the word has nothing to do with the act of chewing—for which the fancy synonym, by the way, is mastication (MAS-ti-KAY-shin). When you masticate your food, you chew it thoroughly.<br>Eschew comes through Middle English from Old French and Old High German words meaning to shun, avoid, or dread. According to the third edition of The American Heritage Dictionary, eschew suggests avoiding or abstaining from something ""because to do otherwise would be unwise or morally wrong."" Morally upright people eschew evil, teetotalers eschew alcohol, nonsmokers eschew tobacco, and vegetarians eschew meat— which doesn't mean they masticate it but that they avoid eating it.<br>In recent years some people have begun pronouncing eschew as es-SHOO, like s plus shoe, so that in 1993 one dictionary, Merriam-Webster's Collegiate Dictionary, tenth edition, recognized this mispronunciation along with the even more eccentric e-SKYOO (almost like  askew). For a thorough account of why you should eschew these variants, see the entry for eschew in my Big Book of Beastly Mispronunciations. In the meantime, remember that there is no shoe in eschew (and no skew either). Put a chew in it.<br>You may recall that in the introduction to this level I noted that there are two bad habits you must eschew at all costs. First, don't invent your own pronunciations, and second, don't blindly imitate the way other people pronounce words. If you follow those two guidelines, you will have no trouble eschewing objectionable pronunciations and mastering the correct ones.<br><br>To avoid, shun, abstain from; keep away from something harmful, wrong, or distasteful.<br>Usage tip: Eschew has nothing to do with chewing-for which the fancy synonym is mastication."
Prodigious,[pruh-DIJ-us],"Enormous, huge, tremendous, immense; extraordinary in size, extent, force, or degree.<br>Synonyms of prodigious include mammoth, monumental, colossal, gargantuan, elephantine, herculean, and Brobdingnagian.<br>The last four synonyms are interesting words worthy of brief comment.<br>Gargantuan (gahr-GAN-choo-in) comes from the name Gargantua, the hero of the famous satirical romance by Franois Rabelais, published in 1532. Gargantua, says the Century Dictionary, is ""a giant of inconceivable size, who could drink a river dry. The name is doubtless from Spanish garganta, [throat], gullet."" In modern usage gargantuan sometimes suggests gluttony, as a gargantuan feast, but it is perhaps most often used as a stronger synonym of gigantic or enormous, as a gargantuan house or a gargantuan achievement.<br>Elephantine (EL-uh-FAN-tin, also EL-uh-FAN-teen or EL-uh-FAN-tyn) may mean pertaining to an elephant, but the word is most commonly used to mean resembling an elephant, and therefore huge, heavy, and awkward. A person may be of elephantine proportions or walk with an elephantine gait. A king-sized bed or an overlarge couch might also be described as elephantine, suitable for an elephant, immense.<br>The adjective herculean (hur-KYOO-lee-in or HUR-kyoo-LEE-in) comes from the name Hercules, the famous hero of Greek mythology renowned for his great feats of strength and courage. By derivation herculean means worthy or characteristic of the mighty Hercules. A herculean task demands all your strength and stamina; a herculean effort is a mighty, powerful effort. (The word is now usually spelled with a small h.)<br>The unusual word Brobdingnagian (BRAHB-ding-NAG-ee-in, don't forget<br>to pronounce the ding) refers to the gigantic inhabitants of the imaginary land of Brobdingnag (BRAHB-ding-nag) in Jonathan Swift's Gulliver's Travels, or to anyone or anything equally enormous. Because of its literary flavor and peculiar sound, Brobdingnagian (always spelled with a capital B) is probably best reserved for situations in which you want to achieve a humorous or satirical effect. For example, when your very large, very formidable Aunt Eloise makes her thunderous entrance at your next family reunion, you might greet her by saying, ""My dear, you look positively Brobdingnagian this evening!"" The antonym of Brobdingnagian is the more familiar word Lilliputian (LIL-i-PYOO-shin), which also comes to us from Swift's Gulliver's Travels.<br>And now back to our keyword. Prodigious comes through the Latin prodigiosus, strange, wonderful, marvelous, from prodigium, an omen, portent, sign. From the same source we have inherited the word prodigy (PRAH-di-jee), a person of marvelous talent or wonderful ability.<br>Since about 1600, prodigious has been used to mean huge, enormous, of extraordinary size or extent, and also marvelous, wonderful, phenomenal, causing wonder or amazement. In modern usage the context often suggests both senses: a prodigious talent is both enormous and amazing; a prodigious accomplishment is both phenomenal and huge; prodigious energy is both astonishing and tremendous; and a prodigious event or a prodigious undertaking is often both extraordinary and wonderful.<br>When you think of the word prodigious, consider this: William Shakespeare composed twenty of his plays in only ten years, an output that can only be described as prodigious.<br><br>Enormous, huge, tremendous, immense; extraordinary in size, extent, force, or degree.<br>Synonyms: mammoth, monumental, colossal, gargantuan, elephantine (EL-uh-FAN-tin, EL-uh-FAN-teen, or EL-uh-FAN-tyn, in order of preference), herculean (hur-KYOOlee-in or HUR-kyoo-LEE-in), Brobdingnagian (BRAHB-ding-NAG-ee-in; antonym: Lilliputian). The last four synonyms listed are discussed in detail.<br>Etymology and related word: Latin prodigiosus, strange, wonderful, marvelous, from prodigium, an omen, portent, sign. From the same source comes prodigy, a person of marvelous talent or wonderful ahilitv."
Idiosyncrasy,[ID-ee-oh-SING-kruh-see],"A peculiarity, distinctive characteristic of a person or group, an identifying trait or mannerism.<br>An idiosyncrasy, an eccentricity (EK-sen-TRIS-i-tee), and a quirk (KWURK, rhymes with shirk) all designate behavior that is peculiar or distinctive.<br>Quirk is a mild term for any unusual trait, characteristic, or mannerism. Constant use of um, like, and y’know is a quirk of adolescent speech. Old people often have quirks, odd preferences or strange ways of doing things.<br>An eccentricity is a habit or characteristic that seems strange or peculiar because it differs from what is considered usual or normal. A friend of mine who is also a writer prefers to spell his name without the customary period after the middle initial. Of course, every time he publishes an article he winds up in a battle with some copyeditor who insists on ""correcting"" this eccentricity.<br>Our keyword, idiosyncrasy, comes from Greek and means literally ""one's own peculiar temperament, habit, or bent."" In modern usage the word suggests a distinctive characteristic or identifying trait that sets a person apart. An idiosyncrasy may appear somewhat strange or odd, or it may simply mark someone or something as individual and different from others: a writer may have certain stylistic idiosyncrasies; a wine connoisseur can tell you the idiosyncrasies of a particular vintage; and to a person from the Midwest, the speech of someone from New England is full of idiosyncrasies, peculiar or distinctive characteristics.<br>Idiosyncrasy is the noun; the corresponding adjective is idiosyncratic (ID-ee-oh-sin-KRAT-ik), peculiar, distinctive, odd.<br><br>A peculiarity; distinctive characteristic of a person or group; an identifying trait or mannerism.<br>N.B. This lesson distinguished the synonyms idiosyncrasy, eccentricity, and quirk, which designate behavior that is peculiar or distinctive.<br>Corresponding adjective: idiosyncratic, peculiar, distinctive, odd."
Approbation,[AP-roh-BAY-shin],"Approval, acceptance; especially, official approval or authorization.<br>Synonyms of approbation include commendation, endorsement, sanction, ratification, and acclamation (AK-luh-MAY-shin).<br>Antonyms include rejection, opposition, disapprobation, renunciation, repudiation, disavowal, and abjuration (AB-juu-RAY-shin).<br>The noun approbation comes from the Latin approbare, to approve, and by derivation means approval. However, because of its Latin derivation, approbation is more formal and dignified than approval. Children seek the approval of their parents; the president of the United States seeks the approbation of Congress or the electorate. When you want the go-ahead on a plan, you ask your boss for approval. When your plan succeeds and your boss rewards you with a raise or a promotion, that's approbation.<br>Approval, acceptance; especially, official approval or authorization.<br>Synonyms: commendation, endorsement, sanction, ratification, acclamation.<br>Antonyms: rejection, opposition, disapprobation, renunciation, repudiation, disavowal, abjuration.<br>Etymology: Latin approbare, to approve."
Legerdemain,[LEJ-ur-duh-MAYN],"Sleight of hand, a cleverly executed trick or deception.<br>In a general sense, the simple word magic is a synonym of legerdemain. More challenging synonyms of legerdemain include prestidigitation and thaumaturgy, which I'll discuss (and pronounce) in a moment, after I tell you about the expression ""sleight of hand.""<br>The word sleight (SLYT, like slight) is related to the word sly, and ""sleight of hand"" means literally slyness of the hand, a clever trick or illusion done with the hands.<br>Legerdemain, prestidigitation (PRES-ti-DIJ-i-TAY-shin), and thaumaturgy (THAW-muh-TUR-jee) all refer to magic or deception, but each word has a more specific and precise meaning. Thaumaturgy comes from the Greek word for miracle, and by derivation means the working of miracles. The presti- in prestidigitation comes ultimately from the Italian presto, meaning nimble, quick; the digit in the middle of prestidigitation is the word digit (DIJ-it), which in one of its senses means ""a finger."" By derivation prestidigitation is nimbleness with the fingers, quick-fingeredness. Prestidigitation is used as a general synonym for legerdemain, sleight of hand, but sometimes it refers specifically to the art of juggling.<br>Legerdemain comes from a Middle French phrase meaning ""light of hand."" Today the word may refer specifically to adroitness with the hands, as in performing magic tricks, or to any display of clever skill and adroitness. For example, a surgeon, a musician, and an athlete all may display legerdemain. In current usage legerdemain may also denote a cleverly executed trick or deception: ""Larry hired a sleazy accountant who promised he could outwit the IRS by performing financial legerdemain""; ""The first lesson of politics is ‘Watch out for dirty tricks and other unscrupulous forms of legerdemain.’""<br>When you spell legerdemain, remember that it does not have an e at the end.<br><br>Sleight of hand; a cleverly executed trick or deception.<br>Synonyms: magic, prestidigitation, thaumaturgy.<br>Etymology and usage: Legerdemain comes from a Middle French phrase ""light of hand."" Today the word may refer specifically to adroitness with the hands, as in performing magic tricks; to any display of clever skill and adroitness; or a cleverly executed trick or deception. Spelling tip: There is no e at the end of legerdemain."
Puerile,[PYOOR-ul or PYOO-ur-ul],"Childish, immature; hence, foolish, silly.<br>Puerile comes through the Latin puerilis, meaning youthful, childish, from  puer, a child.<br>Synonyms of puerile in the sense of ""childish or immature"" include infantile and juvenile. Synonyms of puerile in the sense of ""foolish or silly"" include inane (i-NAYN), frivolous, asinine, fatuous (FACH-oo-us), sophomoric (SAHF-uh-MOR-ik), and callow (word 30 of Level 4).<br>Infantile, juvenile, and puerile all may be used in a general way to mean pertaining to childhood. Specifically, however, infantile means pertaining to infancy, to babyhood or very early childhood; puerile means pertaining to the childhood years, the time between infancy and puberty; and juvenile means pertaining to preadulthood, the teenage years.<br>You can see the words used in this specific way in the phrases ""infantile paralysis,"" ""juvenile court,"" and ""puerile respiration,"" which is a respiratory murmur heard in healthy children that in adults is considered a sign of disease.<br>These three words may also be used in a general sense to mean childish, immature, foolish, characteristic of youth. In this sense, juvenile is the least negative; puerile implies harsher judgment; and infantile is the strongest, suggesting the most disagreeable characteristics of childhood— extreme silliness and immaturity. For example, juvenile desires may be simply youthful desires, childlike thoughts in an older head. Puerile behavior is childish and inappropriate behavior, unbecoming of one's years; it may refer to children who act younger than they are, and it may only be temporary. Infantile behavior, however, is extremely childish, and an infantile remark is foolish and stupid.<br>Puerile has two corresponding nouns: puerilism (PYOOR-ul-iz-'m or PYOO- ur-ul-iz-'m) and puerility (pyuu-RIL-i-tee or PYOO-uh-RIL-i-tee). Puerilism is a psychiatric term for the abnormal appearance of childish behavior in an adult. In my considered but medically unsubstantiated opinion, puerilism is the chief occupational disorder of writers and actors. Puerility may be used in a general sense to mean childishness, immaturity; in civil law, puerility refers to the status of a child between infancy and puberty. Between puberty and the established legal age of maturity, the child is a juvenile.<br><br>Childish, immature; hence, foolish, silly. Etymology: Latin puerilis, youthful, from puer, a child.<br>Synonyms: (""childish or immature"") infantile, juvenile; (""foolish or silly"") inane; frivolous, asinine, fatuous, sophomoric, callow (Level 4, Word 30).<br>Corresponding nouns: puerilism, a psychiatric term for the abnormal appearance of childish behavior in an adult; puerility, childishness, immaturity, or in civil law, the status of a child between infancy and puberty."
Complicity,[kum-PLIS-i-tee],"Conspiracy, partnership in wrongdoing, criminal participation, direct association in guilt, the state of being an accomplice.<br>Conspiracy, confederacy, collusion, and complicity all refer to partnership or participation in disreputable or illegal activities.<br>Conspiracy means the act of plotting and cooperating secretly, especially to achieve an unlawful, evil, or treacherous purpose, as a conspiracy to commit murder.<br>Confederacy refers to people, groups, states, or nations united for a common purpose. It may be used neutrally to mean simply an alliance, as ""OPEC is a confederacy of Middle Eastern oil-exporting countries."" Quite often, however, confederacy is used in a negative sense to mean an alliance in wrongdoing, as ""a confederacy of terrorists bent on overthrowing the government.""<br>A collusion is a specific type of conspiracy: a secret understanding in which one person or group plays into another's hands with the aim of defrauding a third party. For example, if witnesses in a legal trial or parties to a negotiation are in collusion, they are cooperating secretly while appearing to be adversaries.<br>Here it seems appropriate to digress for a moment to discuss the noun connivance and the verb to connive, which today are often used interchangeably with collusion and the verb to collude. Strictly and traditionally, however, these words are not synonymous.<br>Connivance and connive come from the Latin connivere, to wink at, and by derivation suggest the act of winking at wrongdoing. Originally, and in my opinion properly, to connive is not to conspire or cooperate secretly in an unlawful act but to wink at it, to pretend not to see it or know about it and so give tacit consent or encouragement: ""They bribed the doorman so he would connive at the burglary""; ""The police department connived at organized crime in the city.""<br>In like manner, connivance properly means the act of conniving, feigning ignorance of wrongdoing: ""Illegal gambling would not exist in this town without the connivance of the authorities""; ""When investigators exposed the plot to embezzle company funds, they accused the vice president of connivance.""<br>I should point out here that my opinion of how connive and connivance should be used is puristic, and to a certain extent wishful thinking. All current dictionaries countenance scheme, plot, and conspire as synonyms of connive and sanction conspiracy as a synonym of collusion. My point in raising this issue is not so much to condemn a minor implosion of language as it is to make you aware of the traditional definitions of connive and connivance, which current dictionaries also countenance but which you may not have known until now. My aim is not to prevent you or anyone else from using connive to mean to plot or conspire. My simple, earnest hope is only that you will learn and remember its other, original meaning: ""to feign ignorance of wrongdoing.""<br>And now back to our keyword, complicity. It comes from the Latin complicare, to fold up or fold together, the source also of the words complicate, which means literally ""to fold or twist together,"" and accomplice, which means literally ""a person who is folded up"" and therefore involved.<br>Whereas connivance suggests passive cooperation in something unlawful, complicity denotes active participation or partnership in wrongdoing, the state of being an accomplice: ""When charged with conspiracy, the defendant professed his innocence and denied any complicity in the plot.""<br><br>Conspiracy, partnership in wrongdoing, criminal participation, direct association in guilt, the state of being an accomplice.<br>N.B. This discussion distinguishes the words conspiracy, confederacy, collusion, and complicity, all of which refer to partnership or participation in disreputable or illegal activities. It also explores a usage problem concerning the words connivance, feigning ignorance of wrong doing, and connive, to feign ignorance of wrong doing.<br>Etymology and related words: Latin complicare, to fold up or fold together, the source also of the words complicate and accomplice."
Transmute,[tranz-MYOOT or trans-MYOOT],"To transform; specifically, to change from one nature, form, or substance into another, especially to a higher, better, or more refined one.<br>The verb transmute combines the prefix trans-, meaning ""across"" or ""beyond,"" with the Latin mutare, to change. Literally, transmute means ""to change across the board"" or ""to change something beyond what it is.""<br>Transmute was once used in the primitive science of alchemy (AL-kuh-mee), which preceded modern chemistry, to refer to the changing of base metals or common elements into a higher form, as to transmute iron into gold. Today the word is used generally to mean to completely change the nature or substance of something, especially to change it to a more refined or more desirable state: You can transmute an idea into a reality, transmute sorrow into joy, or make a modest investment that over thirty years transmutes into a substantial nest egg for retirement.<br><br>To transform; specifically, to change from one nature, form, or substance into another, especially to a higher, better, or more refined one. Etymology: Prefix trans-, ""across"" or ""beyond,"" and Latin mutare, to change. Literally, transmute means ""to change across the board"" or ""to change something beyond what it is.""<br>"
Abstruse,[ab-STROOS],"Difficult to understand, hard to grasp mentally, deep, profound, incomprehensible, unfathomable.<br>Antonyms of abstruse include manifest, discernible (word 32 of Level 3), lucid (word 45 of Level 3), and perspicuous, which I'll discuss later in this level.<br>Challenging synonyms of abstruse include inscrutable (word 48 of Level 3), esoteric (word 29 of Level 5), and also occult, cryptic, enigmatic, arcane, recondite, and acroamatic.<br>Let's take a closer look at some of those rather abstruse synonyms, all of which apply to things that are secret and mysterious or difficult to understand.<br>By derivation esoteric (ES-uh-TER-ik) means understood by a select group, intended only for the knowledge of a few; hence, secret, confidential, or beyond most people's knowledge or understanding.<br>Occult (uh-KUHLT, first syllable like a in ago) by derivation means hidden or concealed. Today occult may be used either of that which is secret because it is hidden from view or of that which is secret because it is mysterious or incomprehensible.<br>Cryptic (KRIP-tik) comes from the Greek kryptos, hidden, which comes in turn from the verb kryptein, to hide. The familiar word crypt comes from the same source and means a burial chamber hidden underground. In modern usage cryptic applies to that which has a hidden meaning: cryptic ideas are mystifying ideas; a cryptic message is an incomprehensible or coded message.<br>The noun enigma (i-NIG-muh) and the adjective enigmatic (EN-ig-MAT -ik) come from a Greek verb meaning ""to speak in riddles."" An enigma is something or someone like a riddle, a mystery, puzzle. Enigmatic means like an enigma, and therefore perplexing, puzzling, ambiguous, or incomprehensible. Enigmatic is perhaps most often used of something written or stated, but the word may also apply to actions and to people.<br>Arcane (ahr-KAYN) comes from the Latin arcana, meaning ""shut, closed,"" or ""secret,"" and ultimately from arca, a box or chest, especially a money chest. By derivation arcane means shut or closed up, and, like esoteric, arcane is now used of that which is known only to a few people. The word usually applies to knowledge or information, as an arcane theory.<br>Recondite (REK-un-dyt) comes from the Latin recondere, to put away, conceal. In modern usage recondite applies to that which is beyond the grasp of the ordinary person. To most people, for example, particle physics is a recondite subject.<br>Acroamatic (AK-roh-uh-MAT-ik) is an abstruse and unusual synonym of esoteric—so unusual that you won't find it listed in most dictionaries. Historically, acroamatic applies to certain writings by the ancient Greek philosopher Aristotle (AR-i-STAHT-’l) that were addressed to his disciples as opposed to his exoteric (EKS-uh-TER-ik) writings, which were intended for a popular audience. Acroamatic comes from the Greek akroamatikos, which means ""designed for hearing only."" According to the encyclopedic Century Dictionary (1914), Artistotle's acroamatic writings ""were addressed to ‘hearers,’ that is, were intended to be read to his disciples or were notes written down after his lectures."" In a general sense, acroamatic may refer to that which is esoteric, intended for and understood by a select group, recondite, beyond the grasp of the average person, and abstruse, extremely hard to understand.<br>By derivation abstruse means put or pushed away, and today the word connotes that which has been pushed out of the realm of comprehension. Scholars and scientists are fond of using abstruse academic jargon to discuss abstruse subjects and ideas. If you buy a computer, the user's manual probably will be so abstruse that you'll wind up having to call the customer service hotline for help. <br>Difficult to understand, hard to grasp mentally, deep, profound, incomprehensible, unfathomable.<br>Synonyms: inscrutable (Level 3, Word 48), esoteric (Level 5, Word 29), occult, cryptic, enigmatic, arcane, recondite, acroamatic.<br>Antonyms: manifest, discernible (Level 3, Word 32), lucid (Level 3, Word 45), perspicuous."
